,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
40,gp:AOqpTOERCqVHrNyjW8bwmVEF_BoorC0IG3o_0lP5VAp7zBL0POGZepEglueeZy0n-R_T2I9iWRKCt6Tp4jZ-FQ,BoHaSOON HasaWii,https://lh3.googleusercontent.com/a-/AOh14GjDlcBQaib5rNs-TJ9q4cTCyO3l56DzZzmofII3,I'm quite a picky guy And most app does satisfy my experience But this app has too great quality control & extreme details editing Best app any draftsman can have,5,4,2.4.1,2019-11-21 13:24:39,,
41,gp:AOqpTOGqZ721iB-RnfheXT3XBlR9R3Z04NgMf8pL-doVfqTDPH62RlmR1dJNmO6pInuZ4AUlg__5GEK2f2e-1Q,Bill Cornwell,https://lh3.googleusercontent.com/a-/AOh14GjY146wh1Hzi_l9gqoXjil98RghkJYHshc2ICh3W9w,I run Android 9 and this app still crashes. Very frustrating while editing. Uninstalled!,1,0,2.4.1,2020-01-18 23:34:30,,
42,gp:AOqpTOF6nPNMONbRizzzJxdDf2_Ftebwjl51eLfldB6HrupKwZ-aBCKHv8dMDbqQbTouRcP_e-VM8Ko_GpE5Mg,Daniel Haun,https://lh3.googleusercontent.com/-wxkYb2mipY4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckMaHxFmZFnAoB9KuMRrxpA57XBJQ/photo.jpg,"After trying several apps that were unusable due to either terrible interfaces or being adware, this one was nice and easy to use. Recommended.",5,11,2.1.2,2018-11-17 17:01:16,,
43,gp:AOqpTOGbhAigHUqJsn4QZUko_og28_9o6Xk1bI3I9ZrT6-kesUr1w_uWKzGqT_c8FsCdLVHK09DZrimCTFX8fA,Lex S,https://lh3.googleusercontent.com/a-/AOh14GiOTNzN9tlUkSdSG88KXgWyOE_v8rQdnq7X0FUlBA,Seemed cool but saves every drawing as a blank black screen.,1,1,,2020-01-28 05:15:39,,
44,gp:AOqpTOGMKfAJY__D8qKqI9Qw2EM7GbgyzJYHwZXSlmy4jNAz17Yadm6JQ1mE0qqEClD9B8vEyrn5E3b98-4sqw,smog dragonz,https://lh3.googleusercontent.com/a-/AOh14Gjxf_DsD0hTJTGTJA2vp6wcY-OdnCT7479vrOh7,The new update does not let you save. This is atrocious as I have used this to fix images. Fix your app and I will change my rating. Because this is absolute garbage if you cannot save.,1,4,,2018-10-02 04:14:20,,
45,gp:AOqpTOED-jt8By98yQCd5phzIGknW_NBoIbeB_Hy-mf7gg0vD-ke4MoWHBn09QMThy5fnXXzE9qkMWOtz9QZqA,A Google user,https://lh3.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Difficult. No useful instructions. Couldn't work out how to cut one image and paste onto another. Totally unuseable, eg how are layers made transparent? Why is there no dialog for working with layers or adequate text help?",1,13,2.1.2,2019-01-30 00:00:29,,
46,gp:AOqpTOGT01uGMjJWsAhaafGPZ8bsbQ1z4hLp1-sXxMqd40YV5u993R8UEjHAiqcTWwpkyplMMuYfSiT6Vj-PUQ,Michael Td Roberts,https://lh3.googleusercontent.com/a-/AOh14GjwexZVCcCU-ehLvhvv-31HhSLJ1wUhc2Lp7QYW-A,Very easy to use and is free without ads.,5,3,2.4.1,2020-01-31 16:53:39,,
47,gp:AOqpTOGD20IkUfd8gzf3Ifx72SuscAeop-VXV8ZyyvHnj4ZYpHAyMLu2qlQ4kQlHVuDqXSH7KFUatO9tk_FabQ,Willie Elliott,https://lh3.googleusercontent.com/-9gLB9ZqS8_g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclJNcqlUku24OCTl92RaKnPQlyk9Q/photo.jpg,Pocket Paint used to be great. Now after the new update I can't save images. Fix the bug and I fix my rating.,1,4,2.1.1,2018-10-01 19:51:02,,
48,gp:AOqpTOFI6wAxFDT85_TUJpTgLHw2lo0hq6FpeySMGm9QHlPocaTolyEm-ADNV3wtdT0oNhikuD7EhRR3yx6esw,Agustín F. Pozuelo,https://lh3.googleusercontent.com/a-/AOh14GiCs2wtzWqe1Owd1dpO2kT-4Yo2Zg3h6msd--dQGQ,"Great image edition app, small free and powerful!",5,2,,2020-02-27 00:28:30,,
49,gp:AOqpTOGy0ZkZH7N7qHMyX-MCFbtsaQwsK00I10WgyehuuznZFteTZ1ZqfYWcf_SCPNlHfsPgL6ZSlj2yrSofAQ,Speeple Forkinlorp,https://lh3.googleusercontent.com/-93JSjIjLf8c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckkFr6Vrq8Oy-V9_xzk42AT1N3LlA/photo.jpg,"Just looking for something that can resize photos like ms paint, instead when you load an image into this it automatically scales it down to a uselessly low resolution.",1,34,2.4.1,2019-10-07 15:17:27,,
